約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2025/1/7","2025/1/10","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","3,896","34,226","0","-","-","13,333(500)","円"
"2025/1/7","2025/1/14","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,203","27,769","0","-","-","20,000","円"
"2025/1/7","2025/1/10","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,201","15,621","0","-","-","5,000","円"
"2025/2/3","2025/2/6","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,494","33,477","0","-","-","5,000","円"
"2025/2/4","2025/2/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,930","33,730","0","-","-","20,000(498)","円"
"2025/2/4","2025/2/10","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","10,914","27,489","0","-","-","30,000","円"
"2025/2/4","2025/2/7","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,216","15,549","0","-","-","5,000","円"
"2025/3/3","2025/3/6","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,496","33,432","0","-","-","5,000(500)","円"
"2025/3/4","2025/3/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","6,318","31,656","0","-","-","20,000(500)","円"
"2025/3/4","2025/3/10","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","11,402","26,311","0","-","-","30,000","円"
"2025/3/4","2025/3/7","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,230","15,482","0","-","-","5,000","円"
